date,pic_corr,roll_corr,gap,pic_cov,roll_cov,gap_cov,cos,real_corr,err,err_cov,pair21,pv63,jm21,crowded,q
1992-07-21,0.25065,0.513677,-0.263027,2.8144e-06,5.79062e-06,-2.97622e-06,0.350613,0.404428,-0.109249,-1.65814e-06,0.0113686,0.0397647,0,0,1
1992-07-22,0.245007,0.506479,-0.261472,2.743e-06,5.70775e-06,-2.96475e-06,0.350613,0.418382,-0.0880965,-1.50868e-06,0.0133493,0.0396937,0,0,1
1992-07-23,0.240736,0.504145,-0.263409,2.70095e-06,5.69495e-06,-2.994e-06,0.350613,0.419114,-0.0850307,-1.48392e-06,0.0132432,0.0398765,0,0,1
1992-07-28,0.228171,0.508605,-0.280434,2.5188e-06,5.72398e-06,-3.20518e-06,0.350613,0.419006,-0.0895991,-1.51521e-06,0.0157837,0.0398074,0,0,1
1992-07-29,0.228841,0.507209,-0.278368,2.52759e-06,5.67918e-06,-3.15159e-06,0.350613,0.41355,-0.0936586,-1.52384e-06,0.0161126,0.0398302,0,0,1
1992-07-30,0.22232,0.505549,-0.283229,2.43516e-06,5.64388e-06,-3.20872e-06,0.350613,0.40213,-0.103419,-1.58685e-06,0.0192865,0.0401927,0,0,1
1992-07-31,0.458889,0.501914,-0.0430246,4.38695e-06,5.58461e-06,-1.19766e-06,0.488644,0.683467,0.181554,-6.85559e-07,0.0203234,0.0402703,0,0,2
1992-08-04,0.456092,0.491043,-0.0349508,4.35278e-06,5.37225e-06,-1.01947e-06,0.488644,0.675933,0.18489,-5.06302e-07,0.020134,0.0402627,0,0,2
1992-08-05,0.464485,0.491047,-0.0265621,4.3925e-06,5.37241e-06,-9.79907e-07,0.488644,0.681174,0.190127,-6.39207e-07,0.0134249,0.0396687,0,0,2
1992-08-06,0.464999,0.491285,-0.0262857,4.40187e-06,5.39623e-06,-9.9436e-07,0.488644,0.682775,0.191491,-6.17384e-07,0.0135376,0.0398409,0,0,2
1992-08-07,0.47008,0.493693,-0.0236133,4.42291e-06,5.41931e-06,-9.96398e-07,0.488644,0.715867,0.222174,-3.04102e-07,0.0104535,0.0400663,0,0,2
1992-08-11,0.469595,0.491613,-0.0220177,4.41832e-06,5.40057e-06,-9.82248e-07,0.488644,0.677602,0.185989,-4.55994e-07,0.0107197,0.0401536,0,0,2
1992-08-12,0.46911,0.490498,-0.0213886,4.40544e-06,5.38054e-06,-9.75104e-07,0.488644,0.584498,0.0939996,-1.97966e-06,0.000847166,0.034946,0,0,2
1992-08-13,0.486915,0.509409,-0.022494,4.73619e-06,5.78027e-06,-1.04408e-06,0.488644,0.584187,0.0747788,-2.54355e-06,0.0038816,0.0343798,0,0,2
1992-08-14,0.487834,0.509895,-0.022061,4.77283e-06,5.81138e-06,-1.03855e-06,0.488644,0.567965,0.0580696,-2.51768e-06,0.00159677,0.0342603,0,0,2
1992-08-18,0.487304,0.506415,-0.0191111,4.76098e-06,5.72735e-06,-9.66367e-07,0.488644,0.56886,0.062445,-2.41903e-06,0.00375572,0.0341776,0,0,2
1992-08-19,0.490649,0.507479,-0.0168296,4.77919e-06,5.72828e-06,-9.49098e-07,0.488644,0.561848,0.054369,-2.50668e-06,0.00880036,0.0343016,0,0,2
1992-08-20,0.492297,0.510192,-0.0178958,4.79999e-06,5.76789e-06,-9.67897e-07,0.488644,0.551867,0.041675,-2.6109e-06,0.00697481,0.0338642,0,0,2
1992-08-21,0.492199,0.509938,-0.0177383,4.81142e-06,5.77281e-06,-9.61391e-07,0.488644,0.553063,0.0431254,-2.64918e-06,0.00827322,0.0339067,0,0,2
1992-08-25,0.494933,0.507841,-0.0129083,4.83927e-06,5.74534e-06,-9.0607e-07,0.488644,0.55056,0.0427193,-2.63301e-06,0.0113234,0.0339347,0,0,2
1992-08-26,-0.242138,0.505807,-0.747945,-2.45182e-06,5.70534e-06,-8.15715e-06,-0.222791,-0.202618,-0.708425,-6.77342e-06,0.0116787,0.0339953,0,0,0
1992-09-01,-0.240793,0.505655,-0.746448,-2.43375e-06,5.70444e-06,-8.13818e-06,-0.222791,-0.195066,-0.700721,-6.75129e-06,0.012444,0.0338937,0,0,0
1992-09-02,-0.240197,0.506135,-0.746332,-2.42745e-06,5.70931e-06,-8.13676e-06,-0.222791,-0.194457,-0.700591,-6.75236e-06,0.0134158,0.0347907,0,0,0
1992-09-03,-0.239017,0.503111,-0.742129,-2.40615e-06,5.65046e-06,-8.05661e-06,-0.222791,-0.166351,-0.669463,-6.55584e-06,0.0173126,0.0359098,0,0,0
1992-09-04,-0.237959,0.501316,-0.739275,-2.39237e-06,5.63132e-06,-8.02369e-06,-0.222791,-0.152885,-0.654201,-6.48288e-06,0.0167877,0.0358611,0,0,0
1992-09-09,-0.239217,0.496744,-0.73596,-2.40256e-06,5.52973e-06,-7.93229e-06,-0.222791,-0.159217,-0.655961,-6.40657e-06,0.00852978,0.035627,0,0,0
1992-09-10,-0.242808,0.498928,-0.741736,-2.42956e-06,5.52883e-06,-7.95839e-06,-0.222791,-0.194377,-0.693305,-6.62244e-06,0.00582315,0.0353178,0,0,0
1992-09-11,-0.243191,0.498807,-0.741998,-2.42989e-06,5.53666e-06,-7.96655e-06,-0.222791,-0.233574,-0.732382,-6.81163e-06,-0.00195873,0.0349366,0,0,0
1992-09-15,-0.238826,0.499644,-0.73847,-2.40038e-06,5.5601e-06,-7.96047e-06,-0.222791,-0.23262,-0.732264,-6.82878e-06,0.00264323,0.0355069,0,0,0
1992-09-16,-0.250164,0.505014,-0.755178,-2.49234e-06,5.55662e-06,-8.04896e-06,-0.222791,-0.229834,-0.734848,-6.81117e-06,0.00469034,0.0350072,0,0,0
1992-09-17,-0.250412,0.505655,-0.756067,-2.48827e-06,5.57227e-06,-8.06055e-06,-0.222791,-0.238285,-0.743939,-6.86544e-06,0.002244,0.0350498,0,0,0
1992-09-18,-0.250937,0.504993,-0.75593,-2.49382e-06,5.57495e-06,-8.06878e-06,-0.222791,-0.24033,-0.745323,-6.80759e-06,0.00142871,0.0370249,0,0,0
1992-09-22,-0.245682,0.498978,-0.74466,-2.43982e-06,5.49534e-06,-7.93516e-06,-0.222791,-0.240384,-0.739363,-6.72819e-06,-0.00217108,0.037202,0,0,0
1992-09-24,-0.248498,0.499305,-0.747803,-2.45687e-06,5.5017e-06,-7.95857e-06,-0.222791,-0.214942,-0.714247,-6.61114e-06,-0.00141758,0.0374518,0,0,0
1992-09-25,-0.249786,0.496868,-0.746654,-2.4738e-06,5.46792e-06,-7.94172e-06,-0.222791,-0.173605,-0.670473,-6.39561e-06,0.000880452,0.0375269,0,0,0
1992-09-29,0.662004,0.496889,0.165115,8.94853e-06,5.4684e-06,3.48013e-06,0.597987,0.529712,0.0328229,-1.34306e-06,0.00153174,0.0379728,0,0,3
1992-10-01,0.661977,0.496656,0.165321,8.9503e-06,5.46812e-06,3.48218e-06,0.597987,0.549182,0.0525259,-1.02207e-06,-0.00367396,0.0376937,0,0,3
1992-10-02,0.666202,0.498653,0.167549,8.97548e-06,5.51635e-06,3.45913e-06,0.597987,0.540339,0.0416861,-1.16454e-06,-0.00615484,0.0378686,0,0,3
1992-10-06,0.666537,0.499771,0.166766,8.98859e-06,5.53887e-06,3.44971e-06,0.597987,0.5452,0.0454296,-1.14985e-06,-0.0111284,0.0384136,0,0,3
1992-10-07,0.664024,0.497695,0.166328,8.93642e-06,5.50557e-06,3.43085e-06,0.597987,0.547741,0.0500453,-1.08579e-06,-0.0134556,0.0389564,0,0,3
1992-10-08,0.663523,0.497548,0.165976,8.93099e-06,5.50541e-06,3.42558e-06,0.597987,0.558122,0.060574,-1.117e-06,-0.019121,0.0387769,0,0,3
1992-10-09,0.661834,0.494806,0.167028,8.93238e-06,5.49312e-06,3.43927e-06,0.597987,0.563681,0.0688754,-1.02797e-06,-0.0205545,0.0393289,0,0,3
1992-10-13,0.660241,0.492863,0.167378,8.89528e-06,5.45028e-06,3.445e-06,0.597987,0.564026,0.0711626,-9.84878e-07,-0.0193484,0.039468,0,0,3
1992-10-14,0.663089,0.49288,0.170209,8.91855e-06,5.45149e-06,3.46706e-06,0.597987,0.567892,0.0750124,-9.34162e-07,-0.0218765,0.0399831,0,0,3
1992-10-15,0.661975,0.491579,0.170396,8.88438e-06,5.43255e-06,3.45183e-06,0.597987,0.559555,0.0679764,-1.08544e-06,-0.0241865,0.0390423,0,0,3
1992-10-16,0.666129,0.495055,0.171073,8.95606e-06,5.49275e-06,3.46331e-06,0.597987,0.577575,0.0825199,-9.54961e-07,-0.0241974,0.0391662,0,0,3
1992-10-20,0.66499,0.491049,0.173941,8.93216e-06,5.41563e-06,3.51652e-06,0.597987,0.546697,0.0556485,-1.43563e-06,-0.0161268,0.0372081,0,0,3
1992-10-21,0.668658,0.49509,0.173567,9.0886e-06,5.51855e-06,3.57004e-06,0.597987,0.547595,0.0525042,-1.49072e-06,-0.0184172,0.0372635,0,0,3
1992-10-22,0.66852,0.49281,0.175711,9.08273e-06,5.50072e-06,3.58201e-06,0.597987,0.54568,0.0528703,-1.70687e-06,-0.016524,0.0362496,0,0,3
1992-10-23,0.664506,0.49316,0.171346,9.01649e-06,5.53947e-06,3.47701e-06,0.597987,0.541382,0.0482223,-1.81082e-06,-0.0202634,0.0353342,0,0,3
1992-10-27,0.662747,0.495907,0.166841,8.93927e-06,5.60314e-06,3.33613e-06,0.597987,0.532551,0.0366444,-1.89412e-06,-0.0187137,0.0352749,0,0,3
1992-10-28,0.662737,0.495803,0.166933,8.92524e-06,5.59781e-06,3.32743e-06,0.597987,0.526319,0.0305157,-1.88622e-06,-0.0155205,0.0356253,0,0,3
1992-10-29,0.662234,0.496658,0.165576,8.91665e-06,5.60501e-06,3.31164e-06,0.597987,0.513017,0.0163592,-2.08327e-06,-0.0099519,0.0350049,0,0,3
1992-10-30,0.458822,0.497663,-0.0388404,5.51836e-06,5.62398e-06,-1.05614e-07,0.57582,0.179869,-0.317793,-4.67161e-06,-0.00596114,0.0347026,0,0,2
1992-11-03,0.460212,0.50186,-0.0416474,5.53319e-06,5.66791e-06,-1.3472e-07,0.57582,0.16508,-0.336779,-4.77088e-06,-0.007445,0.035107,0,0,2
1992-11-04,0.455604,0.493608,-0.0380034,5.45638e-06,5.51907e-06,-6.26895e-08,0.57582,0.126529,-0.367079,-4.81572e-06,-0.0107244,0.0350233,0,0,2
1992-11-05,0.453947,0.492206,-0.0382587,5.44044e-06,5.51837e-06,-7.79299e-08,0.57582,0.0951771,-0.397029,-4.97213e-06,-0.0112753,0.0350358,0,0,2
1992-11-06,0.45239,0.492315,-0.0399248,5.40424e-06,5.50091e-06,-9.66629e-08,0.57582,0.0909922,-0.401323,-4.98619e-06,-0.010321,0.0350774,0,0,2
1992-11-10,0.460296,0.483345,-0.0230489,5.4746e-06,5.31689e-06,1.5771e-07,0.57582,0.0418769,-0.441468,-5.06856e-06,-0.00719771,0.0355781,0,0,2
1992-11-11,0.460531,0.485056,-0.0245257,5.45956e-06,5.32909e-06,1.30472e-07,0.57582,-0.011831,-0.496887,-5.39647e-06,-0.00256335,0.0353344,0,0,2
1992-11-12,0.466378,0.487216,-0.0208384,5.5561e-06,5.37504e-06,1.8106e-07,0.57582,0.048251,-0.438965,-5.08875e-06,0.00256456,0.0350236,0,0,2
1992-11-13,0.469421,0.486122,-0.016701,5.6078e-06,5.37885e-06,2.2895e-07,0.57582,0.0218356,-0.464287,-5.25272e-06,0.00474968,0.0345144,0,0,2
