estimator,band,ann_turnover,dispersion,sharpe_0bp,sharpe_2bp,sharpe_5bp,sharpe_10bp,sharpe_20bp
invvol,0,3.728,0.2764,0.5188,0.5109,0.4992,0.4796,0.4418
stream,0,5.797,0.2836,0.5166,0.5053,0.4883,0.46,0.4034
pic_daily,0,12.54,0.3008,0.541,0.5153,0.4766,0.4147,0.2938
c2_daily,0,12.5,0.3037,0.6027,0.5785,0.542,0.4811,0.3522
blend_daily,0,10.22,0.297,0.5972,0.5764,0.5452,0.493,0.3884
varblend_daily,0,10.87,0.2962,0.5344,0.5128,0.4804,0.4262,0.3174
c2_q63lag45,0,8.556,0.3401,0.5769,0.5604,0.5356,0.4942,0.4114
blend_q63lag45,0,5.98,0.2848,0.5238,0.5119,0.494,0.4645,0.4054
varblend_q63lag45,0,6.94,0.298,0.554,0.5403,0.5197,0.4859,0.4182
oracle,0,21.09,0.2636,0.8111,0.7636,0.6943,0.576,0.3384
