estimator,delivered_median,dispersion,max_dd,ann_turnover,sharpe,sharpe_5bp,d_sharpe_vs_stream,d_sharpe_ci_lo,d_sharpe_ci_hi
invvol,0.90632,0.27611,-0.41988,3.7158,0.52085,0.50132,-0.0045067,-0.19569,0.17776
stream,0.91419,0.28315,-0.42175,5.7944,0.52535,0.49716,0,0,0
pic_daily,0.89907,0.30027,-0.31998,12.507,0.54537,0.48463,0.020016,-0.070924,0.18786
c2_daily,0.90252,0.30315,-0.34577,12.478,0.60361,0.54309,0.078261,0.0021405,0.24239
blend_daily,0.90443,0.29649,-0.36239,10.205,0.59851,0.54805,0.073156,0.01787,0.20014
varblend_daily,0.89715,0.29575,-0.33342,10.839,0.53903,0.48511,0.013678,-0.070357,0.16827
c2_q63lag45,0.90584,0.33957,-0.47043,8.5463,0.57962,0.53835,0.054264,-0.21539,0.14132
blend_q63lag45,0.91199,0.2843,-0.42621,5.9592,0.52559,0.49619,0.00024078,-0.035922,0.028496
varblend_q63lag45,0.9173,0.29752,-0.43189,6.9225,0.55673,0.52297,0.031373,-0.043374,0.098309
oracle,0.94189,0.26332,-0.25929,21.027,0.82307,0.70093,0.29772,0.046593,0.55336
