estimator,delivered_median,dispersion,max_dd,ann_turnover,sharpe,sharpe_5bp,d_sharpe_vs_stream,d_sharpe_ci_lo,d_sharpe_ci_hi
invvol,0.93612,0.22503,-0.41362,12.478,0.52908,0.46714,-0.0080036,-0.22641,0.15624
stream,0.92137,0.23481,-0.38481,18.891,0.53708,0.44314,0,0,0
pic_daily,0.91648,0.29183,-0.3699,31.115,0.5535,0.3953,0.016417,-0.11036,0.14239
c2_daily,0.91623,0.28017,-0.3779,30.156,0.60851,0.45595,0.071422,-0.043137,0.20098
blend_daily,0.9165,0.27835,-0.3777,29.816,0.608,0.45715,0.070915,-0.037973,0.19118
varblend_daily,0.91757,0.29113,-0.37027,30.807,0.55455,0.39791,0.017464,-0.098565,0.15951
c2_q63lag45,0.92567,0.27244,-0.41197,22.488,0.63955,0.53005,0.10247,-0.086287,0.22368
blend_q63lag45,0.92517,0.23557,-0.39389,19.52,0.54723,0.45022,0.010146,-0.029605,0.036636
varblend_q63lag45,0.9408,0.24016,-0.38714,21.26,0.59204,0.48645,0.054957,-0.011736,0.12004
oracle,0.79185,0.32011,-0.30179,205.47,0.80263,-0.47681,0.26554,-0.017491,0.51536
