model,rmse,rmse_q,n,n_q,win,dm_t,dm_p,win_q,sign_p_q
PIC,1.91353e-05,1.75564e-05,68036,1086,,,,,
ROLL252,2.33201e-05,2.22718e-05,,,0.626389,9.05902,0,0.615101,3.22325e-14
EWMA63,2.19241e-05,2.07923e-05,,,0.598904,7.39968,1.36557e-13,0.601289,2.59554e-11
EWMA252,2.32703e-05,2.19994e-05,,,0.610015,10.202,0,0.609576,5.19059e-13
