geometry,estimator,age,persistence_bins,crossover_persistence
neutral,blend,0,0.53:1.043 0.57:0.993 0.62:0.986 0.68:1.032 0.72:1.086 0.78:1.011 0.82:0.958 0.88:1.002 0.93:1.001 0.97:0.996,0.5680
neutral,holdings cov,0,0.53:1.163 0.57:1.187 0.62:1.202 0.68:1.041 0.72:1.398 0.78:1.067 0.82:1.138 0.88:1.051 0.93:1.017 0.97:0.997,0.9683
neutral,blend,21,0.53:1.286 0.57:1.136 0.62:1.181 0.68:0.992 0.72:1.038 0.78:1.000 0.82:1.021 0.88:1.014 0.93:1.004 0.97:0.997,0.6727
neutral,holdings cov,21,0.53:2.089 0.57:1.401 0.62:1.595 0.68:0.984 0.72:1.335 0.78:1.047 0.82:1.189 0.88:1.093 0.93:1.017 0.97:0.996,0.6733
neutral,blend,63,0.53:1.075 0.57:1.054 0.62:1.012 0.68:0.997 0.72:1.063 0.78:0.996 0.82:1.067 0.88:1.019 0.93:1.007 0.97:1.000,0.6643
neutral,holdings cov,63,0.53:2.233 0.57:2.021 0.62:1.271 0.68:1.045 0.72:1.624 0.78:1.054 0.82:1.558 0.88:1.080 0.93:1.106 0.97:1.028,
neutral,blend,108,0.53:1.046 0.57:1.065 0.62:0.935 0.68:0.999 0.72:1.046 0.78:1.010 0.82:1.012 0.88:1.010 0.93:1.014 0.97:1.004,0.5992
neutral,holdings cov,108,0.53:1.705 0.57:3.019 0.62:1.008 0.68:1.071 0.72:1.695 0.78:1.101 0.82:1.441 0.88:1.078 0.93:1.156 0.97:1.050,
