geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,correlation,"proxy factor corr, extended 22",0,0.85-0.95,375,8180,0.997397,0.981174,1.014534,0.600000
neutral,covariance,holdings cov,0,<0.75,126,3016,1.098777,1.059514,1.892347,0.166667
neutral,covariance,"holdings corr, stream vol",0,<0.75,126,3016,1.055759,1.002758,1.125317,0.222222
neutral,covariance,"blend, pair weight",0,<0.75,126,3016,1.038191,0.977907,1.066687,0.285714
neutral,correlation,holdings corr,0,<0.75,126,3016,1.147461,0.796808,1.333407,0.380952
neutral,correlation,blend corr,0,<0.75,126,3016,1.071864,0.760053,1.227957,0.444444
neutral,correlation,factor corr K5,0,<0.75,126,3016,1.058646,0.992690,1.275563,0.388889
neutral,correlation,factor corr K10,0,<0.75,126,3016,1.028191,0.977567,1.223177,0.539683
neutral,correlation,"proxy factor corr, core 13",0,<0.75,126,3016,1.015191,0.976863,1.155323,0.642857
neutral,correlation,"proxy factor corr, extended 22",0,<0.75,126,3010,1.014069,0.976247,1.146581,0.634921
neutral,covariance,holdings cov,0,>0.95,958,22567,0.992934,0.969558,1.014107,0.579332
neutral,covariance,"holdings corr, stream vol",0,>0.95,958,22567,0.996677,0.992322,1.001414,0.555324
neutral,covariance,"blend, pair weight",0,>0.95,958,22567,0.996663,0.992341,1.001345,0.555324
neutral,correlation,holdings corr,0,>0.95,958,22567,0.937153,0.888410,0.976987,0.726514
neutral,correlation,blend corr,0,>0.95,958,22567,0.936970,0.888329,0.976200,0.728601
neutral,correlation,factor corr K5,0,>0.95,958,22567,1.024062,0.987346,1.080534,0.527140
neutral,correlation,factor corr K10,0,>0.95,958,22567,0.987515,0.962725,1.020832,0.624217
neutral,correlation,"proxy factor corr, core 13",0,>0.95,958,22507,0.973304,0.959900,0.985277,0.812109
neutral,correlation,"proxy factor corr, extended 22",0,>0.95,957,22258,0.974499,0.963099,0.985299,0.831766
neutral,covariance,holdings cov,21,0.75-0.85,257,5437,1.054057,0.997606,1.131179,0.284047
neutral,covariance,"holdings corr, stream vol",21,0.75-0.85,257,5437,1.015003,0.997986,1.039076,0.245136
neutral,covariance,"blend, pair weight",21,0.75-0.85,257,5437,1.007701,0.988622,1.027576,0.284047
neutral,correlation,holdings corr,21,0.75-0.85,257,5437,1.127172,0.964656,1.201068,0.190661
neutral,correlation,blend corr,21,0.75-0.85,257,5437,1.057771,0.902976,1.126426,0.214008
neutral,correlation,factor corr K5,21,0.75-0.85,257,5437,1.034836,0.988123,1.077963,0.416342
neutral,correlation,factor corr K10,21,0.75-0.85,257,5437,1.007704,0.970906,1.040132,0.583658
neutral,correlation,"proxy factor corr, core 13",21,0.75-0.85,257,5437,0.996533,0.969615,1.012526,0.669261
neutral,correlation,"proxy factor corr, extended 22",21,0.75-0.85,252,5318,0.999790,0.980463,1.012367,0.670635
neutral,covariance,holdings cov,21,0.85-0.95,379,8387,1.013598,0.996671,1.078489,0.343008
neutral,covariance,"holdings corr, stream vol",21,0.85-0.95,379,8387,1.003471,0.995407,1.020551,0.369393
neutral,covariance,"blend, pair weight",21,0.85-0.95,379,8387,1.002539,0.994748,1.016362,0.382586
neutral,correlation,holdings corr,21,0.85-0.95,379,8387,1.041582,0.998375,1.097843,0.356201
neutral,correlation,blend corr,21,0.85-0.95,379,8387,1.024566,0.984785,1.076288,0.382586
neutral,correlation,factor corr K5,21,0.85-0.95,379,8387,1.052639,1.011105,1.103953,0.398417
neutral,correlation,factor corr K10,21,0.85-0.95,379,8385,1.025079,0.998062,1.057173,0.467018
neutral,correlation,"proxy factor corr, core 13",21,0.85-0.95,378,8354,0.999775,0.982149,1.019670,0.568783
neutral,correlation,"proxy factor corr, extended 22",21,0.85-0.95,377,8275,0.998153,0.982221,1.014790,0.588859
neutral,covariance,holdings cov,21,<0.75,126,3026,1.256686,1.024102,1.827253,0.095238
neutral,covariance,"holdings corr, stream vol",21,<0.75,126,3026,1.131930,1.001252,1.496400,0.150794
neutral,covariance,"blend, pair weight",21,<0.75,126,3026,1.062411,0.997528,1.251219,0.190476
neutral,correlation,holdings corr,21,<0.75,126,3026,1.357767,1.063210,1.486821,0.063492
neutral,correlation,blend corr,21,<0.75,126,3026,1.153525,0.960923,1.216105,0.126984
neutral,correlation,factor corr K5,21,<0.75,126,3026,1.058443,0.994797,1.255247,0.388889
neutral,correlation,factor corr K10,21,<0.75,126,3026,1.028229,0.978789,1.203511,0.539683
neutral,correlation,"proxy factor corr, core 13",21,<0.75,126,3026,1.015563,0.978251,1.145327,0.642857
neutral,correlation,"proxy factor corr, extended 22",21,<0.75,126,3022,1.014256,0.977955,1.136529,0.634921
neutral,covariance,holdings cov,21,>0.95,948,22490,0.991275,0.977937,1.006235,0.626582
neutral,covariance,"holdings corr, stream vol",21,>0.95,948,22490,0.996776,0.993344,1.000458,0.587553
neutral,covariance,"blend, pair weight",21,>0.95,948,22490,0.996768,0.993389,1.000373,0.589662
neutral,correlation,holdings corr,21,>0.95,948,22490,0.978405,0.935855,1.020206,0.631857
neutral,correlation,blend corr,21,>0.95,948,22490,0.977162,0.936040,1.017922,0.633966
neutral,correlation,factor corr K5,21,>0.95,948,22490,1.026187,0.989525,1.074504,0.518987
neutral,correlation,factor corr K10,21,>0.95,948,22490,0.989797,0.965519,1.016637,0.620253
neutral,correlation,"proxy factor corr, core 13",21,>0.95,948,22430,0.975385,0.963897,0.985605,0.815401
neutral,correlation,"proxy factor corr, extended 22",21,>0.95,947,22198,0.974619,0.963173,0.984409,0.831045
neutral,covariance,holdings cov,63,0.75-0.85,263,5557,1.129454,1.055855,1.242547,0.076046
neutral,covariance,"holdings corr, stream vol",63,0.75-0.85,263,5557,1.029035,1.007040,1.068564,0.087452
neutral,covariance,"blend, pair weight",63,0.75-0.85,263,5557,1.008648,0.980455,1.034238,0.121673
neutral,correlation,holdings corr,63,0.75-0.85,263,5557,1.230576,1.068309,1.310693,0.110266
neutral,correlation,blend corr,63,0.75-0.85,263,5557,1.057389,0.941723,1.107834,0.159696
neutral,correlation,factor corr K5,63,0.75-0.85,263,5557,1.042665,1.005854,1.083102,0.376426
neutral,correlation,factor corr K10,63,0.75-0.85,263,5557,1.013435,0.990299,1.040748,0.547529
neutral,correlation,"proxy factor corr, core 13",63,0.75-0.85,263,5557,1.000453,0.982219,1.012872,0.642586
neutral,correlation,"proxy factor corr, extended 22",63,0.75-0.85,262,5509,0.999998,0.982876,1.011507,0.652672
neutral,covariance,holdings cov,63,0.85-0.95,379,8493,1.082950,1.025306,1.305834,0.124011
neutral,covariance,"holdings corr, stream vol",63,0.85-0.95,379,8493,1.011273,1.000063,1.029879,0.269129
neutral,covariance,"blend, pair weight",63,0.85-0.95,379,8493,1.008099,0.998932,1.021619,0.292876
