geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,correlation,"proxy factor corr, extended 22",0,0.85-0.95,1632,26850,0.978626,0.960300,0.992243,0.710172
neutral,covariance,holdings cov,0,<0.75,351,5163,1.078206,1.022606,1.174352,0.267806
neutral,covariance,"holdings corr, stream vol",0,<0.75,351,5163,1.028028,0.995106,1.069617,0.378917
neutral,covariance,"blend, pair weight",0,<0.75,351,5163,1.016916,0.989158,1.048112,0.398860
neutral,correlation,holdings corr,0,<0.75,351,5163,0.937113,0.851751,1.031101,0.598291
neutral,correlation,blend corr,0,<0.75,351,5163,0.899801,0.827147,0.974259,0.675214
neutral,correlation,factor corr K5,0,<0.75,351,5163,1.083679,1.005211,1.215808,0.478632
neutral,correlation,factor corr K10,0,<0.75,351,5163,1.065765,0.992555,1.189261,0.569801
neutral,correlation,"proxy factor corr, core 13",0,<0.75,343,5055,1.046843,0.985500,1.150250,0.606414
neutral,correlation,"proxy factor corr, extended 22",0,<0.75,328,4851,1.051176,0.989590,1.147981,0.612805
neutral,covariance,holdings cov,0,>0.95,18576,440416,1.007076,0.990021,1.018414,0.281385
neutral,covariance,"holdings corr, stream vol",0,>0.95,18576,440416,0.994052,0.980420,1.001219,0.507644
neutral,covariance,"blend, pair weight",0,>0.95,18576,440416,0.994046,0.980424,1.001205,0.508075
neutral,correlation,holdings corr,0,>0.95,18576,440416,0.988187,0.974967,1.000738,0.555771
neutral,correlation,blend corr,0,>0.95,18576,440416,0.988003,0.974692,1.000471,0.557009
neutral,correlation,factor corr K5,0,>0.95,18552,439467,1.052684,1.030277,1.077590,0.489651
neutral,correlation,factor corr K10,0,>0.95,18527,438816,1.013694,0.997923,1.030592,0.557133
neutral,correlation,"proxy factor corr, core 13",0,>0.95,18386,436407,0.989422,0.979219,0.999901,0.676167
neutral,correlation,"proxy factor corr, extended 22",0,>0.95,18229,429457,0.986710,0.976827,0.996618,0.725492
neutral,covariance,holdings cov,21,0.75-0.85,76,1067,1.025409,0.903608,1.056997,0.328947
neutral,covariance,"holdings corr, stream vol",21,0.75-0.85,76,1067,1.018090,0.916502,1.037743,0.223684
neutral,covariance,"blend, pair weight",21,0.75-0.85,76,1067,1.015468,0.917639,1.033842,0.276316
neutral,correlation,holdings corr,21,0.75-0.85,76,1067,1.003183,0.904803,1.061545,0.460526
neutral,correlation,blend corr,21,0.75-0.85,76,1067,0.987243,0.898292,1.049582,0.526316
neutral,correlation,factor corr K5,21,0.75-0.85,76,1067,1.091501,0.985190,1.198994,0.250000
neutral,correlation,factor corr K10,21,0.75-0.85,76,1067,1.075010,0.993311,1.116889,0.250000
neutral,correlation,"proxy factor corr, core 13",21,0.75-0.85,76,1065,0.993427,0.948055,1.006303,0.578947
neutral,correlation,"proxy factor corr, extended 22",21,0.75-0.85,73,1026,0.993090,0.970492,1.006533,0.561644
neutral,covariance,holdings cov,21,0.85-0.95,1711,28033,0.997155,0.986540,1.010980,0.555231
neutral,covariance,"holdings corr, stream vol",21,0.85-0.95,1711,28033,0.999540,0.995040,1.004894,0.513150
neutral,covariance,"blend, pair weight",21,0.85-0.95,1711,28033,0.999475,0.995032,1.004610,0.521333
neutral,correlation,holdings corr,21,0.85-0.95,1711,28033,0.994140,0.965488,1.016692,0.547633
neutral,correlation,blend corr,21,0.85-0.95,1711,28033,0.992198,0.963761,1.014457,0.557569
neutral,correlation,factor corr K5,21,0.85-0.95,1709,28000,1.030572,0.996721,1.081472,0.479228
neutral,correlation,factor corr K10,21,0.85-0.95,1709,27986,0.995384,0.971924,1.023981,0.562317
neutral,correlation,"proxy factor corr, core 13",21,0.85-0.95,1694,27754,0.979791,0.961653,0.993692,0.670602
neutral,correlation,"proxy factor corr, extended 22",21,0.85-0.95,1636,26937,0.978913,0.962418,0.992415,0.709658
neutral,covariance,holdings cov,21,<0.75,356,5262,1.083894,0.999285,1.293977,0.283708
neutral,covariance,"holdings corr, stream vol",21,<0.75,356,5262,1.033511,0.985988,1.141877,0.303371
neutral,covariance,"blend, pair weight",21,<0.75,356,5262,1.003531,0.971474,1.061865,0.365169
neutral,correlation,holdings corr,21,<0.75,356,5262,1.260408,1.138072,1.411482,0.216292
neutral,correlation,blend corr,21,<0.75,356,5262,1.138937,1.053328,1.255076,0.311798
