geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,correlation,"proxy factor corr, extended 22",0,0.85-0.95,13142,350068,0.958749,0.941699,0.975891,0.731319
neutral,covariance,holdings cov,0,<0.75,4248,112634,0.967945,0.941456,1.017033,0.532721
neutral,covariance,"holdings corr, stream vol",0,<0.75,4248,112634,0.968308,0.951782,0.983529,0.640537
neutral,covariance,"blend, pair weight",0,<0.75,4248,112634,0.965135,0.946969,0.977274,0.673964
neutral,correlation,holdings corr,0,<0.75,4248,112634,0.937129,0.877721,1.026784,0.676318
neutral,correlation,blend corr,0,<0.75,4248,112634,0.881492,0.839359,0.933937,0.739171
neutral,correlation,factor corr K5,0,<0.75,3828,97394,0.953366,0.894835,1.016952,0.664577
neutral,correlation,factor corr K10,0,<0.75,3363,86431,0.937751,0.892271,0.994855,0.735355
neutral,correlation,"proxy factor corr, core 13",0,<0.75,3184,80531,0.927047,0.897533,0.966510,0.795540
neutral,correlation,"proxy factor corr, extended 22",0,<0.75,2424,60407,0.946591,0.917199,0.983243,0.763201
neutral,covariance,holdings cov,0,>0.95,14880,413104,0.967144,0.942044,0.988091,0.639180
neutral,covariance,"holdings corr, stream vol",0,>0.95,14880,413104,0.957792,0.939319,0.972759,0.838239
neutral,covariance,"blend, pair weight",0,>0.95,14880,413104,0.957851,0.939432,0.972820,0.838911
neutral,correlation,holdings corr,0,>0.95,14880,413104,0.866018,0.829201,0.896361,0.813239
neutral,correlation,blend corr,0,>0.95,14880,413104,0.865643,0.828853,0.895873,0.815457
neutral,correlation,factor corr K5,0,>0.95,13707,363033,0.984419,0.938549,1.027153,0.570511
neutral,correlation,factor corr K10,0,>0.95,12607,326585,0.927887,0.885897,0.961635,0.677084
neutral,correlation,"proxy factor corr, core 13",0,>0.95,12167,304728,0.933146,0.889310,0.966207,0.716446
neutral,correlation,"proxy factor corr, extended 22",0,>0.95,9493,228432,0.950452,0.903049,0.983760,0.692300
neutral,covariance,holdings cov,21,0.75-0.85,5802,168835,0.958553,0.901798,0.999457,0.639262
neutral,covariance,"holdings corr, stream vol",21,0.75-0.85,5802,168835,0.946688,0.902943,0.971667,0.788176
neutral,covariance,"blend, pair weight",21,0.75-0.85,5802,168835,0.946969,0.903235,0.971952,0.810927
neutral,correlation,holdings corr,21,0.75-0.85,5802,168835,0.911591,0.872892,0.949539,0.750431
neutral,correlation,blend corr,21,0.75-0.85,5802,168835,0.902757,0.863496,0.939935,0.771113
neutral,correlation,factor corr K5,21,0.75-0.85,5493,156634,0.939833,0.904272,0.974698,0.679046
neutral,correlation,factor corr K10,21,0.75-0.85,5174,144231,0.919719,0.890822,0.944614,0.770004
neutral,correlation,"proxy factor corr, core 13",21,0.75-0.85,4947,135335,0.931879,0.905845,0.953319,0.785729
neutral,correlation,"proxy factor corr, extended 22",21,0.75-0.85,4060,108331,0.947044,0.924705,0.965966,0.787685
neutral,covariance,holdings cov,21,0.85-0.95,19251,558903,0.965390,0.946324,0.980724,0.606358
neutral,covariance,"holdings corr, stream vol",21,0.85-0.95,19251,558903,0.962625,0.948577,0.974032,0.801673
neutral,covariance,"blend, pair weight",21,0.85-0.95,19251,558903,0.962701,0.948728,0.974029,0.804945
neutral,correlation,holdings corr,21,0.85-0.95,19251,558903,0.909940,0.888815,0.930141,0.760012
neutral,correlation,blend corr,21,0.85-0.95,19251,558903,0.907944,0.886835,0.927572,0.769051
neutral,correlation,factor corr K5,21,0.85-0.95,17769,512432,0.941401,0.918946,0.963233,0.650627
neutral,correlation,factor corr K10,21,0.85-0.95,16558,468941,0.921815,0.902941,0.938766,0.739763
neutral,correlation,"proxy factor corr, core 13",21,0.85-0.95,15953,441288,0.943688,0.923692,0.960339,0.742180
neutral,correlation,"proxy factor corr, extended 22",21,0.85-0.95,13147,350395,0.958790,0.940160,0.975313,0.731041
neutral,covariance,holdings cov,21,<0.75,4153,108102,0.967768,0.941523,1.013103,0.519624
neutral,covariance,"holdings corr, stream vol",21,<0.75,4153,108102,0.971665,0.957879,0.987701,0.623164
neutral,covariance,"blend, pair weight",21,<0.75,4153,108102,0.968011,0.955640,0.978661,0.685769
neutral,correlation,holdings corr,21,<0.75,4153,108102,1.019968,0.942913,1.129286,0.581267
neutral,correlation,blend corr,21,<0.75,4153,108102,0.935675,0.896221,0.980693,0.660005
neutral,correlation,factor corr K5,21,<0.75,3831,97654,0.954445,0.893134,1.018109,0.662751
neutral,correlation,factor corr K10,21,<0.75,3363,86635,0.938200,0.887632,0.994343,0.734166
neutral,correlation,"proxy factor corr, core 13",21,<0.75,3186,80745,0.927372,0.894116,0.967972,0.794727
neutral,correlation,"proxy factor corr, extended 22",21,<0.75,2425,60575,0.946921,0.916807,0.985859,0.762062
neutral,covariance,holdings cov,21,>0.95,14684,397905,0.958816,0.931303,0.980402,0.681831
neutral,covariance,"holdings corr, stream vol",21,>0.95,14684,397905,0.956606,0.937155,0.972789,0.834582
neutral,covariance,"blend, pair weight",21,>0.95,14684,397905,0.956726,0.937391,0.972834,0.834990
neutral,correlation,holdings corr,21,>0.95,14684,397905,0.895292,0.857378,0.928065,0.779147
neutral,correlation,blend corr,21,>0.95,14684,397905,0.894687,0.856970,0.927073,0.781395
neutral,correlation,factor corr K5,21,>0.95,13708,363382,0.984548,0.938927,1.024453,0.569448
neutral,correlation,factor corr K10,21,>0.95,12609,326870,0.927852,0.887115,0.961387,0.678166
neutral,correlation,"proxy factor corr, core 13",21,>0.95,12167,304923,0.933152,0.889524,0.966806,0.716446
neutral,correlation,"proxy factor corr, extended 22",21,>0.95,9496,228602,0.950403,0.905422,0.983704,0.692607
neutral,covariance,holdings cov,63,0.75-0.85,5449,155610,0.985910,0.960191,1.016306,0.617728
neutral,covariance,"holdings corr, stream vol",63,0.75-0.85,5449,155610,0.971785,0.956340,0.982170,0.779776
neutral,covariance,"blend, pair weight",63,0.75-0.85,5449,155610,0.973017,0.958974,0.982603,0.804001
neutral,correlation,holdings corr,63,0.75-0.85,5449,155610,0.945762,0.909853,0.982617,0.706735
neutral,correlation,blend corr,63,0.75-0.85,5449,155610,0.934402,0.902116,0.965656,0.738484
neutral,correlation,factor corr K5,63,0.75-0.85,5449,155610,0.940220,0.903772,0.974835,0.678290
neutral,correlation,factor corr K10,63,0.75-0.85,5178,144500,0.919732,0.892195,0.945320,0.770182
neutral,correlation,"proxy factor corr, core 13",63,0.75-0.85,4950,135576,0.931749,0.904671,0.954192,0.786061
neutral,correlation,"proxy factor corr, extended 22",63,0.75-0.85,4062,108527,0.946797,0.922721,0.965676,0.788035
neutral,covariance,holdings cov,63,0.85-0.95,17591,508888,0.978301,0.967358,0.988583,0.607697
neutral,covariance,"holdings corr, stream vol",63,0.85-0.95,17591,508888,0.975871,0.969894,0.980962,0.788471
neutral,covariance,"blend, pair weight",63,0.85-0.95,17591,508888,0.976000,0.970269,0.980975,0.797794
neutral,correlation,holdings corr,63,0.85-0.95,17591,508888,0.940773,0.921974,0.958551,0.707691
neutral,correlation,blend corr,63,0.85-0.95,17591,508888,0.937168,0.919001,0.954780,0.723779
neutral,correlation,factor corr K5,63,0.85-0.95,17591,508888,0.941892,0.919875,0.966016,0.649139
neutral,correlation,factor corr K10,63,0.85-0.95,16574,469674,0.921775,0.901940,0.938389,0.739954
neutral,correlation,"proxy factor corr, core 13",63,0.85-0.95,15972,441984,0.943560,0.924178,0.959449,0.741736
neutral,correlation,"proxy factor corr, extended 22",63,0.85-0.95,13164,350921,0.958552,0.940427,0.974117,0.730933
neutral,covariance,holdings cov,63,<0.75,3837,97852,0.987979,0.960294,1.038776,0.481887
neutral,covariance,"holdings corr, stream vol",63,<0.75,3837,97852,0.982100,0.966978,1.001506,0.610373
neutral,covariance,"blend, pair weight",63,<0.75,3837,97852,0.977846,0.964890,0.985907,0.711493
neutral,correlation,holdings corr,63,<0.75,3837,97852,1.059690,0.980220,1.174345,0.505343
neutral,correlation,blend corr,63,<0.75,3837,97852,0.948234,0.911918,0.982757,0.626010
neutral,correlation,factor corr K5,63,<0.75,3837,97852,0.955413,0.891985,1.016717,0.657545
neutral,correlation,factor corr K10,63,<0.75,3403,87518,0.939342,0.889112,0.994420,0.733764
neutral,correlation,"proxy factor corr, core 13",63,<0.75,3220,81535,0.927958,0.894742,0.964413,0.790683
neutral,correlation,"proxy factor corr, extended 22",63,<0.75,2428,60939,0.947188,0.915303,0.985403,0.762356
neutral,covariance,holdings cov,63,>0.95,13549,359171,0.973104,0.956676,0.987515,0.682633
neutral,covariance,"holdings corr, stream vol",63,>0.95,13549,359171,0.972541,0.959634,0.980898,0.822275
neutral,covariance,"blend, pair weight",63,>0.95,13549,359171,0.972746,0.959934,0.981034,0.823825
neutral,correlation,holdings corr,63,>0.95,13549,359171,0.919116,0.880323,0.949331,0.733412
neutral,correlation,blend corr,63,>0.95,13549,359171,0.918016,0.879685,0.947968,0.738431
neutral,correlation,factor corr K5,63,>0.95,13549,359171,0.983183,0.940974,1.025571,0.570817
neutral,correlation,factor corr K10,63,>0.95,12670,327855,0.926895,0.886967,0.959400,0.679006
neutral,correlation,"proxy factor corr, core 13",63,>0.95,12228,305833,0.932055,0.889459,0.965502,0.717779
neutral,correlation,"proxy factor corr, extended 22",63,>0.95,9545,229322,0.948906,0.904270,0.981941,0.694500
neutral,covariance,holdings cov,108,0.75-0.85,5130,142580,0.991937,0.966370,1.018123,0.581871
