geometry,regression,channel,age,stratum,coef,se,t,nobs
neutral,blend corr vs stream,correlation,108,Q4,-0.002018,0.005789,-0.348479,104574
neutral,blend corr vs stream,correlation,0,Q1 - Q4,0.011653,0.007906,1.473908,104574
neutral,blend corr vs stream,correlation,21,Q1 - Q4,0.012285,0.007528,1.632048,104574
neutral,blend corr vs stream,correlation,63,Q1 - Q4,0.014362,0.007595,1.891021,104574
neutral,blend corr vs stream,correlation,108,Q1 - Q4,0.013742,0.007424,1.851008,104574
neutral,factor corr K5 vs stream,correlation,0,Q1,-0.014330,0.006346,-2.258009,104426
neutral,factor corr K5 vs stream,correlation,0,Q2,-0.019683,0.007724,-2.548368,104426
neutral,factor corr K5 vs stream,correlation,0,Q3,-0.024232,0.008859,-2.735336,104426
neutral,factor corr K5 vs stream,correlation,0,Q4,-0.021926,0.011162,-1.964357,104426
neutral,factor corr K5 vs stream,correlation,21,Q1,-0.014163,0.006364,-2.225254,104426
neutral,factor corr K5 vs stream,correlation,21,Q2,-0.019522,0.007749,-2.519296,104426
neutral,factor corr K5 vs stream,correlation,21,Q3,-0.024042,0.008879,-2.707700,104426
neutral,factor corr K5 vs stream,correlation,21,Q4,-0.021604,0.011045,-1.955907,104426
neutral,factor corr K5 vs stream,correlation,63,Q1,-0.014045,0.006395,-2.196180,104426
neutral,factor corr K5 vs stream,correlation,63,Q2,-0.019826,0.007708,-2.571925,104426
neutral,factor corr K5 vs stream,correlation,63,Q3,-0.024373,0.008817,-2.764456,104426
neutral,factor corr K5 vs stream,correlation,63,Q4,-0.022457,0.011299,-1.987636,104426
neutral,factor corr K5 vs stream,correlation,108,Q1,-0.014045,0.006395,-2.196180,104426
neutral,factor corr K5 vs stream,correlation,108,Q2,-0.019826,0.007708,-2.571925,104426
neutral,factor corr K5 vs stream,correlation,108,Q3,-0.024373,0.008817,-2.764456,104426
neutral,factor corr K5 vs stream,correlation,108,Q4,-0.022457,0.011299,-1.987636,104426
neutral,factor corr K5 vs stream,correlation,0,Q1 - Q4,0.007596,0.009791,0.775795,104426
neutral,factor corr K5 vs stream,correlation,21,Q1 - Q4,0.007441,0.009650,0.771085,104426
neutral,factor corr K5 vs stream,correlation,63,Q1 - Q4,0.008413,0.010027,0.839006,104426
neutral,factor corr K5 vs stream,correlation,108,Q1 - Q4,0.008413,0.010027,0.839006,104426
neutral,factor corr K10 vs stream,correlation,0,Q1,-0.011591,0.004005,-2.894423,104054
neutral,factor corr K10 vs stream,correlation,0,Q2,-0.016251,0.005062,-3.210031,104054
neutral,factor corr K10 vs stream,correlation,0,Q3,-0.020236,0.005465,-3.702461,104054
neutral,factor corr K10 vs stream,correlation,0,Q4,-0.018278,0.007558,-2.418230,104054
neutral,factor corr K10 vs stream,correlation,21,Q1,-0.011450,0.004024,-2.845307,104054
neutral,factor corr K10 vs stream,correlation,21,Q2,-0.016101,0.005089,-3.163832,104054
neutral,factor corr K10 vs stream,correlation,21,Q3,-0.020062,0.005489,-3.655063,104054
neutral,factor corr K10 vs stream,correlation,21,Q4,-0.018016,0.007430,-2.424969,104054
neutral,factor corr K10 vs stream,correlation,63,Q1,-0.011389,0.004053,-2.809971,104054
neutral,factor corr K10 vs stream,correlation,63,Q2,-0.016407,0.005056,-3.245272,104054
neutral,factor corr K10 vs stream,correlation,63,Q3,-0.020398,0.005449,-3.743436,104054
neutral,factor corr K10 vs stream,correlation,63,Q4,-0.018852,0.007803,-2.416007,104054
neutral,factor corr K10 vs stream,correlation,108,Q1,-0.011389,0.004053,-2.809971,104054
neutral,factor corr K10 vs stream,correlation,108,Q2,-0.016407,0.005056,-3.245272,104054
neutral,factor corr K10 vs stream,correlation,108,Q3,-0.020398,0.005449,-3.743436,104054
neutral,factor corr K10 vs stream,correlation,108,Q4,-0.018852,0.007803,-2.416007,104054
neutral,factor corr K10 vs stream,correlation,0,Q1 - Q4,0.006686,0.006814,0.981318,104054
neutral,factor corr K10 vs stream,correlation,21,Q1 - Q4,0.006566,0.006657,0.986256,104054
neutral,factor corr K10 vs stream,correlation,63,Q1 - Q4,0.007463,0.007148,1.044023,104054
neutral,factor corr K10 vs stream,correlation,108,Q1 - Q4,0.007463,0.007148,1.044023,104054
neutral,proxy factor corr core 13 vs stream,correlation,0,Q1,-0.002422,0.001976,-1.225428,103706
neutral,proxy factor corr core 13 vs stream,correlation,0,Q2,-0.000898,0.001872,-0.479608,103706
neutral,proxy factor corr core 13 vs stream,correlation,0,Q3,-0.002133,0.001634,-1.305340,103706
neutral,proxy factor corr core 13 vs stream,correlation,0,Q4,-0.005608,0.005771,-0.971747,103706
neutral,proxy factor corr core 13 vs stream,correlation,21,Q1,-0.002408,0.002006,-1.200311,103706
neutral,proxy factor corr core 13 vs stream,correlation,21,Q2,-0.000787,0.001890,-0.416724,103706
neutral,proxy factor corr core 13 vs stream,correlation,21,Q3,-0.002027,0.001657,-1.223750,103706
neutral,proxy factor corr core 13 vs stream,correlation,21,Q4,-0.005491,0.005577,-0.984601,103706
neutral,proxy factor corr core 13 vs stream,correlation,63,Q1,-0.002424,0.002010,-1.205657,103706
neutral,proxy factor corr core 13 vs stream,correlation,63,Q2,-0.001122,0.001878,-0.597541,103706
neutral,proxy factor corr core 13 vs stream,correlation,63,Q3,-0.002402,0.001667,-1.441092,103706
neutral,proxy factor corr core 13 vs stream,correlation,63,Q4,-0.006404,0.006232,-1.027646,103706
neutral,proxy factor corr core 13 vs stream,correlation,108,Q1,-0.002424,0.002010,-1.205657,103706
neutral,proxy factor corr core 13 vs stream,correlation,108,Q2,-0.001122,0.001878,-0.597541,103706
neutral,proxy factor corr core 13 vs stream,correlation,108,Q3,-0.002402,0.001667,-1.441092,103706
neutral,proxy factor corr core 13 vs stream,correlation,108,Q4,-0.006404,0.006232,-1.027646,103706
neutral,proxy factor corr core 13 vs stream,correlation,0,Q1 - Q4,0.003186,0.005838,0.545786,103706
neutral,proxy factor corr core 13 vs stream,correlation,21,Q1 - Q4,0.003084,0.005653,0.545433,103706
neutral,proxy factor corr core 13 vs stream,correlation,63,Q1 - Q4,0.003980,0.006319,0.629897,103706
neutral,proxy factor corr core 13 vs stream,correlation,108,Q1 - Q4,0.003980,0.006319,0.629897,103706
neutral,proxy factor corr extended 22 vs stream,correlation,0,Q1,-0.003081,0.001977,-1.558634,103518
neutral,proxy factor corr extended 22 vs stream,correlation,0,Q2,-0.001940,0.001905,-1.018658,103518
neutral,proxy factor corr extended 22 vs stream,correlation,0,Q3,-0.003220,0.001582,-2.036124,103518
neutral,proxy factor corr extended 22 vs stream,correlation,0,Q4,-0.006516,0.006089,-1.070185,103518
neutral,proxy factor corr extended 22 vs stream,correlation,21,Q1,-0.003068,0.002004,-1.530953,103518
neutral,proxy factor corr extended 22 vs stream,correlation,21,Q2,-0.001829,0.001922,-0.951243,103518
neutral,proxy factor corr extended 22 vs stream,correlation,21,Q3,-0.003117,0.001602,-1.945630,103518
neutral,proxy factor corr extended 22 vs stream,correlation,21,Q4,-0.006409,0.005890,-1.088207,103518
neutral,proxy factor corr extended 22 vs stream,correlation,63,Q1,-0.003082,0.002007,-1.535634,103518
neutral,proxy factor corr extended 22 vs stream,correlation,63,Q2,-0.002160,0.001905,-1.133761,103518
neutral,proxy factor corr extended 22 vs stream,correlation,63,Q3,-0.003481,0.001604,-2.170661,103518
neutral,proxy factor corr extended 22 vs stream,correlation,63,Q4,-0.007309,0.006510,-1.122668,103518
neutral,proxy factor corr extended 22 vs stream,correlation,108,Q1,-0.003082,0.002007,-1.535634,103518
neutral,proxy factor corr extended 22 vs stream,correlation,108,Q2,-0.002160,0.001905,-1.133761,103518
neutral,proxy factor corr extended 22 vs stream,correlation,108,Q3,-0.003481,0.001604,-2.170661,103518
neutral,proxy factor corr extended 22 vs stream,correlation,108,Q4,-0.007309,0.006510,-1.122668,103518
neutral,proxy factor corr extended 22 vs stream,correlation,0,Q1 - Q4,0.003435,0.006127,0.560631,103518
neutral,proxy factor corr extended 22 vs stream,correlation,21,Q1 - Q4,0.003341,0.005937,0.562720,103518
neutral,proxy factor corr extended 22 vs stream,correlation,63,Q1 - Q4,0.004227,0.006573,0.643102,103518
neutral,proxy factor corr extended 22 vs stream,correlation,108,Q1 - Q4,0.004227,0.006573,0.643102,103518
neutral,"staleness cost, holdings cov vs fresh",covariance,21,Q1,-0.362831,0.237518,-1.527593,78079
neutral,"staleness cost, holdings cov vs fresh",covariance,21,Q2,-0.148937,0.117977,-1.262426,78079
neutral,"staleness cost, holdings cov vs fresh",covariance,21,Q3,-0.202961,0.108159,-1.876503,78079
neutral,"staleness cost, holdings cov vs fresh",covariance,21,Q4,-0.311344,0.163069,-1.909278,78079
neutral,"staleness cost, holdings cov vs fresh",covariance,63,Q1,-0.350009,0.232174,-1.507534,78079
neutral,"staleness cost, holdings cov vs fresh",covariance,63,Q2,-0.335262,0.147626,-2.271023,78079
neutral,"staleness cost, holdings cov vs fresh",covariance,63,Q3,-0.343918,0.121281,-2.835713,78079
neutral,"staleness cost, holdings cov vs fresh",covariance,63,Q4,-0.429618,0.151025,-2.844690,78079
neutral,"staleness cost, holdings cov vs fresh",covariance,108,Q1,-0.295688,0.198879,-1.486771,78079
neutral,"staleness cost, holdings cov vs fresh",covariance,108,Q2,-0.225828,0.175147,-1.289363,78079
neutral,"staleness cost, holdings cov vs fresh",covariance,108,Q3,-0.295428,0.091811,-3.217790,78079
neutral,"staleness cost, holdings cov vs fresh",covariance,108,Q4,-0.358177,0.108058,-3.314676,78079
neutral,"staleness cost, holdings cov vs fresh",covariance,21,Q1 - Q4,-0.051487,0.000000,,78079
neutral,"staleness cost, holdings cov vs fresh",covariance,63,Q1 - Q4,0.079609,0.147871,0.538367,78079
neutral,"staleness cost, holdings cov vs fresh",covariance,108,Q1 - Q4,0.062490,0.224654,0.278160,78079
neutral,"staleness cost, holdings corr vs fresh",correlation,21,Q1,0.002660,0.001626,1.635303,78079
neutral,"staleness cost, holdings corr vs fresh",correlation,21,Q2,0.002447,0.000854,2.864847,78079
neutral,"staleness cost, holdings corr vs fresh",correlation,21,Q3,0.000738,0.000742,0.994927,78079
neutral,"staleness cost, holdings corr vs fresh",correlation,21,Q4,0.000954,0.000459,2.077560,78079
neutral,"staleness cost, holdings corr vs fresh",correlation,63,Q1,0.007439,0.002677,2.779171,78079
neutral,"staleness cost, holdings corr vs fresh",correlation,63,Q2,0.005056,0.001346,3.757138,78079
neutral,"staleness cost, holdings corr vs fresh",correlation,63,Q3,0.003001,0.001016,2.953490,78079
neutral,"staleness cost, holdings corr vs fresh",correlation,63,Q4,0.002519,0.000851,2.961357,78079
neutral,"staleness cost, holdings corr vs fresh",correlation,108,Q1,0.010982,0.003643,3.014734,78079
neutral,"staleness cost, holdings corr vs fresh",correlation,108,Q2,0.007488,0.001853,4.039912,78079
neutral,"staleness cost, holdings corr vs fresh",correlation,108,Q3,0.003589,0.001226,2.928341,78079
neutral,"staleness cost, holdings corr vs fresh",correlation,108,Q4,0.004807,0.001314,3.657911,78079
neutral,"staleness cost, holdings corr vs fresh",correlation,21,Q1 - Q4,0.001705,0.001523,1.119833,78079
neutral,"staleness cost, holdings corr vs fresh",correlation,63,Q1 - Q4,0.004920,0.002646,1.859332,78079
neutral,"staleness cost, holdings corr vs fresh",correlation,108,Q1 - Q4,0.006175,0.003704,1.667296,78079
neutral,"staleness cost, blend vs fresh",covariance,21,Q1,-0.015196,0.000000,,78079
neutral,"staleness cost, blend vs fresh",covariance,21,Q2,0.006245,0.025948,0.240668,78079
neutral,"staleness cost, blend vs fresh",covariance,21,Q3,0.020321,0.031159,0.652148,78079
neutral,"staleness cost, blend vs fresh",covariance,21,Q4,0.003718,0.019387,0.191756,78079
neutral,"staleness cost, blend vs fresh",covariance,63,Q1,0.042774,0.067471,0.633968,78079
neutral,"staleness cost, blend vs fresh",covariance,63,Q2,0.052802,0.000000,,78079
neutral,"staleness cost, blend vs fresh",covariance,63,Q3,0.227930,0.185197,1.230742,78079
neutral,"staleness cost, blend vs fresh",covariance,63,Q4,0.062604,0.028846,2.170327,78079
neutral,"staleness cost, blend vs fresh",covariance,108,Q1,-0.017859,0.036517,-0.489074,78079
neutral,"staleness cost, blend vs fresh",covariance,108,Q2,0.028866,0.049777,0.579921,78079
neutral,"staleness cost, blend vs fresh",covariance,108,Q3,0.065180,0.040278,1.618263,78079
neutral,"staleness cost, blend vs fresh",covariance,108,Q4,0.086318,0.031164,2.769809,78079
neutral,"staleness cost, blend vs fresh",covariance,21,Q1 - Q4,-0.018914,0.005836,-3.240638,78079
neutral,"staleness cost, blend vs fresh",covariance,63,Q1 - Q4,-0.019830,0.048723,-0.406992,78079
neutral,"staleness cost, blend vs fresh",covariance,108,Q1 - Q4,-0.104177,0.029213,-3.566067,78079
neutral,future book vs fresh (positive control),covariance,future,Q1,0.014387,0.066930,0.214959,26007
neutral,future book vs fresh (positive control),covariance,future,Q2,-0.054939,0.083130,-0.660883,26007
neutral,future book vs fresh (positive control),covariance,future,Q3,0.045334,0.042981,1.054734,26007
neutral,future book vs fresh (positive control),covariance,future,Q4,0.011081,0.046851,0.236526,26007
neutral,future book vs fresh (positive control),covariance,future,Q1 - Q4,0.003306,0.070849,0.046659,26007
