ticker,series_id,fund_name,type,first_year,last_year
WCME,S000086663,First Trust WCM Developing World Equity ETF,equity_longonly,2024,2025
WCMI,S000086665,First Trust WCM International Equity ETF,equity_longonly,2024,2025
RGEF,S000086715,Rockefeller Global Equity ETF,equity_longonly,2025,2025
RSMC,S000086716,Rockefeller U.S. Small-Mid Cap ETF,equity_longonly,2025,2025
NBJP,S000086746,Neuberger Berman Japan Equity ETF,equity_longonly,2025,2025
LIVR,S000086878,Intelligent Livermore ETF,equity_longonly,2025,2025
XCNY,S000087668,SPDR S&P Emerging Markets ex-China ETF,equity_longonly,2024,2024
EUAD,S000087726,Select STOXX Europe Aerospace & Defense ETF,equity_longonly,2025,2025
BKCG,S000087737,BNY Mellon Concentrated Growth ETF,equity_longonly,2025,2025
BKDV,S000087738,BNY Mellon Dynamic Value ETF,equity_longonly,2025,2025
GROZ,S000087747,Zacks Focus Growth ETF,equity_longonly,2025,2025
DECO,S000087748,SPDR Galaxy Digital Asset Ecosystem ETF,equity_longonly,2024,2025
TEKX,S000087749,SPDR Galaxy Transformative Tech Accelerators ETF,equity_longonly,2024,2025
JMID,S000087757,JANUS HENDERSON MID CAP GROWTH ALPHA ETF,equity_longonly,2024,2025
INFO,S000088022,Harbor PanAgora Dynamic Large Cap Core ETF,equity_longonly,2024,2025
GQQQQ,S000088111,Astoria US Quality Growth Kings ETF,equity_longonly,2025,2025
MSLC,S000088119,Morgan Stanley Pathway Large Cap Equity ETF,equity_longonly,2025,2025
MSSM,S000088120,Morgan Stanley Pathway Small-Mid Cap Equity ETF,equity_longonly,2025,2025
KMID,S000088173,Virtus KAR Mid-Cap ETF,equity_longonly,2025,2025
UPSD,S000088187,Aptus Large Cap Upside ETF,equity_longonly,2025,2025
CSRE,S000088341,Cohen & Steers Real Estate Active ETF,equity_longonly,2025,2026
CSNR,S000088342,Cohen & Steers Natural Resources Active ETF,equity_longonly,2025,2026
NANC,S000088363,Unusual Whales Subversive Democratic Trading ETF,equity_longonly,2025,2025
GOP,S000088364,Unusual Whales Subversive Republican Trading ETF,equity_longonly,2025,2025
ROPE,S000088451,Coastal Compass 100 ETF,equity_longonly,2025,2025
BAFE,S000088454,Brown Advisory Flexible Equity ETF,equity_longonly,2025,2025
FMCE,S000088455,FM Compounders Equity ETF,equity_longonly,2025,2026
ALRG,S000088479,Allspring LT Large Core ETF,equity_longonly,2025,2025
AGRW,S000088480,Allspring LT Large Growth ETF,equity_longonly,2025,2025
ASLV,S000088481,Allspring Special Large Value ETF,equity_longonly,2025,2025
BEEX,S000088484,The Beehive ETF,equity_longonly,2024,2025
BCHI,S000088547,GMO Beyond China ETF,equity_longonly,2025,2026
QLTI,S000088548,GMO International Quality ETF,equity_longonly,2025,2026
GMOI,S000088549,GMO International Value ETF,equity_longonly,2025,2026
GMOV,S000088551,GMO U.S. Value ETF,equity_longonly,2025,2026
AGEM,S000088603,abrdn Emerging Markets Dividend Active ETF,equity_longonly,2025,2025
AFSC,S000088604,abrdn Focused U.S. Small Cap Active ETF,equity_longonly,2025,2025
PIEQ,S000088641,Principal International Equity ETF,equity_longonly,2025,2025
RILA,S000088672,Indexperts Gorilla Aggressive Growth ETF,equity_longonly,2025,2025
QIDX,S000088673,Indexperts Quality Earnings Focused ETF,equity_longonly,2025,2025
GEME,S000088737,Pacific NoS Global EM Equity Active ETF,equity_longonly,2025,2025
TPZ,S000088745,Tortoise Electrification Infrastructure ETF,equity_longonly,2025,2025
QBIG,S000088835,Invesco Top QQQ ETF,equity_longonly,2025,2025
OAKM,S000088867,Oakmark U.S. Large Cap ETF,equity_longonly,2025,2025
CGMM,S000088874,Capital Group U.S. Small and Mid Cap ETF,equity_longonly,2025,2025
EDGE,S000088878,MRBL Enhanced Equity ETF,equity_longonly,2025,2025
