ticker,series_id,fund_name,first_year,last_year,net_assets_last
INTL,S000072613,Main International ETF,2023,2025,126892395.09
DSCF,S000072739,Discipline Fund ETF,2022,2024,38058104.61
RULE,S000072878,Adaptive Core ETF,2022,2024,38807372.02
MFUL,S000072879,Mindful Conservative ETF,2022,2024,58205914.52
KGRO,S000072918,KraneShares China Innovation ETF,2022,2023,1908872.71
SSFI,S000073631,Day Hagan Smart Sector Fixed Income ETF,2022,2025,38261188.16
GHTA,S000073730,Goose Hollow Tactical Allocation ETF,2022,2024,37553360.49
BUFG,S000074006,FT Vest Buffered Allocation Growth ETF,2022,2025,255882666.19
BUFT,S000074008,FT Vest Buffered Allocation Defensive ETF,2022,2025,119991795.15
MSMR,S000074297,McElhenny Sheffield Managed Risk ETF,2022,2025,113593005
UPAR,S000074863,UPAR Ultra Risk Parity ETF,2022,2025,60094038.02
FLTN,S000074922,Rareview Inflation/Deflation ETF,2022,2023,16286431.56
MSTQ,S000075031,LHA Market State Tactical Q ETF,2022,2025,27388270.66
IRBA,S000075084,iMGP RBA Responsible Global Allocation ETF,2022,2023,8188122.20076923
FIG,S000075091,Simplify Macro Strategy ETF,2022,2024,32856180
TACK,S000075505,Fairlead Tactical Sector ETF,2023,2026,254160045.96147901
MOOD,S000075783,Relative Sentiment Tactical Allocation ETF,2023,2026,53434692.8
INC,S000076160,VanEck Dynamic High Income ETF,2023,2024,743207.48461538
SSXU,S000076645,Day Hagan Smart Sector International ETF,2023,2025,36567382.15
DYTA,S000076676,SGI Dynamic Tactical ETF,2023,2024,83975974
HFND,S000077333,Unlimited HFND Multi-Strategy Return Tracker ETF,2023,2025,31656550.41
AVGE,S000077486,Avantis All Equity Markets ETF,2023,2024,311259753.573077
XCOR,S000077552,FundX ETF,2023,2024,151221231
XNAV,S000077553,FundX Aggressive ETF,2023,2024,25459701
HIDE,S000077708,Alpha Architect High Inflation and Deflation ETF,2023,2024,21611873.89
MODL,S000077771,VictoryShares WestEnd U.S. Sector ETF,2023,2025,455316819.83
IGTR,S000078008,Innovator Gradient Tactical Rotation Strategy ETF,2023,2025,89879792.0241918
ARP,S000079261,PMV Adaptive Risk Parity ETF,2023,2025,38216292
SNAV,S000079362,Mohr Sector Nav ETF,2023,2024,50090358
FDIF,S000079690,Fidelity Disruptors ETF,2024,2025,91820313
RSSB,S000079703,Return Stacked Global Stocks & Bonds ETF,2024,2026,321874829.34
HF,S000079922,DGA Core Plus Absolute Return ETF,2024,2024,16542297.72
BDGS,S000079940,Bridges Capital Tactical ETF,2024,2026,38897451.28
MKAM,S000079961,MKAM ETF,2024,2026,9726005.87
BSR,S000080116,Beacon Selective Risk ETF,2024,2026,26758601.36483516
BTR,S000080117,Beacon Tactical Risk ETF,2024,2026,24930738.98824174
FDAT,S000080161,Tactical Advantage ETF,2024,2026,33694620.12
HCMT,S000080459,Direxion HCM Tactical Enhanced US ETF,2023,2025,461176413.937808
INCM,S000080465,Franklin Income Focus ETF,2024,2026,907599834.55
RMIF,S000080534,LHA Risk-Managed Income ETF ,2023,2025,34513787.37
AVGV,S000080557,Avantis All Equity Markets Value ETF,2023,2024,56571818.2907692
AVMA,S000080559,Avantis Moderate Allocation ETF,2023,2024,8214274.72538461
AVNM,S000080560,Avantis All International Markets Equity ETF,2023,2024,14016715.7869231
AVNV,S000080561,Avantis All International Markets Value ETF,2023,2024,1876476.57076923
CGBL,S000080721,Capital Group Core Balanced ETF,2023,2025,2821825722.27
MAPP,S000080799,Harbor Multi-Asset Explorer ETF,2023,2025,5539236.35
FDCE,S000080857,Foundations Dynamic Core ETF,2024,2024,4313747.95
FDGR,S000080858,Foundations Dynamic Growth ETF,2024,2024,7918755.4
FDTB,S000080859,Foundations Dynamic Income ETF,2024,2024,6843761.02
FDVL,S000080860,Foundations Dynamic Value ETF,2024,2024,6108718.01551155
KEM,S000081605,KraneShares Dynamic Emerging Markets Strategy ETF,2024,2025,4582169.47512329
BAMA,S000081760,Brookstone Active ETF,2024,2025,39420989.11835613
BAMO,S000081764,Brookstone Opportunities ETF,2024,2025,37056046.35808216
BAMY,S000081767,Brookstone Yield ETF,2024,2025,35759253.27361643
DFGE,S000081781,Dimensional World Equity ETF,2023,2025,701145773.64
GGM,S000081846,GGM Macro Alignment ETF,2024,2025,20459409.2404932
IRTR,S000082197,iShares LifePath Retirement ETF,2024,2025,12456821.48
ITDI,S000082198,iShares LifePath Target Date 2065 ETF,2024,2025,8234230.37
ITDA,S000082199,iShares LifePath Target Date 2025 ETF,2024,2024,2887594
ITDB,S000082200,iShares LifePath Target Date 2030 ETF,2024,2025,17972897.21
ITDC,S000082201,iShares LifePath Target Date 2035 ETF,2024,2025,25821723.36
ITDD,S000082202,iShares LifePath Target Date 2040 ETF,2024,2025,24371642.14
ITDE,S000082203,iShares LifePath Target Date 2045 ETF,2024,2025,22467032.84
ITDF,S000082204,iShares LifePath Target Date 2050 ETF,2024,2025,21714596.43
ITDG,S000082205,iShares LifePath Target Date 2055 ETF,2024,2025,14544528.52
ITDH,S000082206,iShares LifePath Target Date 2060 ETF,2024,2025,9465486.92
TBFG,S000082648,The Brinsmere Fund - Growth ETF,2024,2024,275516805.988
TBFC,S000082649,The Brinsmere Fund - Conservative ETF,2024,2024,283152822.042
XFLX,S000082812,FundX Flexible ETF,2024,2024,60300014
XRLX,S000082813,FundX Conservative ETF,2024,2024,56773036
DYFI,S000082864,IDX Dynamic Fixed Income ETF,2024,2025,37636573.67
