geometry,regression,channel,age,stratum,coef,se,t,nobs
neutral,holdings corr vs stream,correlation,63,Q1 - Q4,0.012638,0.002884,4.381962,5602365
neutral,holdings corr vs stream,correlation,108,Q1 - Q4,0.014384,0.002828,5.086180,5602365
neutral,blend corr vs stream,correlation,0,Q1,-0.012274,0.001837,-6.681839,5602365
neutral,blend corr vs stream,correlation,0,Q2,-0.009816,0.001652,-5.941408,5602365
neutral,blend corr vs stream,correlation,0,Q3,-0.010643,0.001747,-6.093793,5602365
neutral,blend corr vs stream,correlation,0,Q4,-0.008763,0.001473,-5.947676,5602365
neutral,blend corr vs stream,correlation,21,Q1,-0.001452,0.001548,-0.937998,5602365
neutral,blend corr vs stream,correlation,21,Q2,-0.004468,0.001340,-3.334230,5602365
neutral,blend corr vs stream,correlation,21,Q3,-0.004361,0.001092,-3.991574,5602365
neutral,blend corr vs stream,correlation,21,Q4,-0.004180,0.001136,-3.680243,5602365
neutral,blend corr vs stream,correlation,63,Q1,0.002876,0.001263,2.276965,5602365
neutral,blend corr vs stream,correlation,63,Q2,-0.000827,0.001335,-0.619308,5602365
neutral,blend corr vs stream,correlation,63,Q3,-0.001556,0.001038,-1.498245,5602365
neutral,blend corr vs stream,correlation,63,Q4,-0.002708,0.001067,-2.537800,5602365
neutral,blend corr vs stream,correlation,108,Q1,0.004729,0.001267,3.733536,5602365
neutral,blend corr vs stream,correlation,108,Q2,0.002650,0.001443,1.836954,5602365
neutral,blend corr vs stream,correlation,108,Q3,0.001104,0.001064,1.038061,5602365
neutral,blend corr vs stream,correlation,108,Q4,-0.000671,0.001225,-0.547701,5602365
neutral,blend corr vs stream,correlation,0,Q1 - Q4,-0.003510,0.001875,-1.871770,5602365
neutral,blend corr vs stream,correlation,21,Q1 - Q4,0.002728,0.001715,1.590807,5602365
neutral,blend corr vs stream,correlation,63,Q1 - Q4,0.005584,0.001438,3.882320,5602365
neutral,blend corr vs stream,correlation,108,Q1 - Q4,0.005401,0.001563,3.454966,5602365
neutral,factor corr K5 vs stream,correlation,0,Q1,0.002608,0.003482,0.748993,5365275
neutral,factor corr K5 vs stream,correlation,0,Q2,0.002889,0.004173,0.692404,5365275
neutral,factor corr K5 vs stream,correlation,0,Q3,0.008981,0.005417,1.657826,5365275
neutral,factor corr K5 vs stream,correlation,0,Q4,0.017984,0.006419,2.801438,5365275
neutral,factor corr K5 vs stream,correlation,21,Q1,0.002979,0.003435,0.867406,5365275
neutral,factor corr K5 vs stream,correlation,21,Q2,0.003185,0.004145,0.768349,5365275
neutral,factor corr K5 vs stream,correlation,21,Q3,0.009358,0.005390,1.736239,5365275
neutral,factor corr K5 vs stream,correlation,21,Q4,0.018785,0.006391,2.939380,5365275
neutral,factor corr K5 vs stream,correlation,63,Q1,0.003123,0.003429,0.910611,5365275
neutral,factor corr K5 vs stream,correlation,63,Q2,0.003182,0.004167,0.763516,5365275
neutral,factor corr K5 vs stream,correlation,63,Q3,0.009489,0.005409,1.754515,5365275
neutral,factor corr K5 vs stream,correlation,63,Q4,0.018593,0.006426,2.893298,5365275
neutral,factor corr K5 vs stream,correlation,108,Q1,0.003274,0.003567,0.917904,5365275
neutral,factor corr K5 vs stream,correlation,108,Q2,0.003282,0.004296,0.763954,5365275
neutral,factor corr K5 vs stream,correlation,108,Q3,0.008907,0.005620,1.584988,5365275
neutral,factor corr K5 vs stream,correlation,108,Q4,0.017749,0.006723,2.640097,5365275
neutral,factor corr K5 vs stream,correlation,0,Q1 - Q4,-0.015375,0.003776,-4.071946,5365275
neutral,factor corr K5 vs stream,correlation,21,Q1 - Q4,-0.015806,0.003775,-4.186455,5365275
neutral,factor corr K5 vs stream,correlation,63,Q1 - Q4,-0.015470,0.003810,-4.060360,5365275
neutral,factor corr K5 vs stream,correlation,108,Q1 - Q4,-0.014475,0.003966,-3.649347,5365275
neutral,factor corr K10 vs stream,correlation,0,Q1,-0.001636,0.002766,-0.591563,5084286
neutral,factor corr K10 vs stream,correlation,0,Q2,-0.001786,0.003350,-0.533281,5084286
neutral,factor corr K10 vs stream,correlation,0,Q3,0.001868,0.004263,0.438101,5084286
neutral,factor corr K10 vs stream,correlation,0,Q4,0.007116,0.004959,1.435054,5084286
neutral,factor corr K10 vs stream,correlation,21,Q1,-0.001270,0.002723,-0.466520,5084286
neutral,factor corr K10 vs stream,correlation,21,Q2,-0.001579,0.003334,-0.473535,5084286
neutral,factor corr K10 vs stream,correlation,21,Q3,0.002227,0.004229,0.526631,5084286
neutral,factor corr K10 vs stream,correlation,21,Q4,0.007829,0.004906,1.595852,5084286
neutral,factor corr K10 vs stream,correlation,63,Q1,-0.001091,0.002711,-0.402421,5084286
neutral,factor corr K10 vs stream,correlation,63,Q2,-0.001512,0.003332,-0.453727,5084286
neutral,factor corr K10 vs stream,correlation,63,Q3,0.002406,0.004231,0.568717,5084286
neutral,factor corr K10 vs stream,correlation,63,Q4,0.007833,0.004916,1.593313,5084286
neutral,factor corr K10 vs stream,correlation,108,Q1,-0.001010,0.002720,-0.371533,5084286
neutral,factor corr K10 vs stream,correlation,108,Q2,-0.001389,0.003327,-0.417505,5084286
neutral,factor corr K10 vs stream,correlation,108,Q3,0.002289,0.004277,0.535105,5084286
neutral,factor corr K10 vs stream,correlation,108,Q4,0.007538,0.004996,1.508843,5084286
neutral,factor corr K10 vs stream,correlation,0,Q1 - Q4,-0.008752,0.002807,-3.118222,5084286
neutral,factor corr K10 vs stream,correlation,21,Q1 - Q4,-0.009100,0.002777,-3.276581,5084286
neutral,factor corr K10 vs stream,correlation,63,Q1 - Q4,-0.008924,0.002792,-3.196096,5084286
neutral,factor corr K10 vs stream,correlation,108,Q1 - Q4,-0.008549,0.002841,-3.009565,5084286
neutral,proxy factor corr core 13 vs stream,correlation,0,Q1,-0.003479,0.001082,-3.215260,4822448
neutral,proxy factor corr core 13 vs stream,correlation,0,Q2,-0.003364,0.001657,-2.029944,4822448
neutral,proxy factor corr core 13 vs stream,correlation,0,Q3,-0.003284,0.001248,-2.631525,4822448
neutral,proxy factor corr core 13 vs stream,correlation,0,Q4,-0.002958,0.001304,-2.268584,4822448
neutral,proxy factor corr core 13 vs stream,correlation,21,Q1,-0.003241,0.001050,-3.087349,4822448
neutral,proxy factor corr core 13 vs stream,correlation,21,Q2,-0.003289,0.001654,-1.988836,4822448
neutral,proxy factor corr core 13 vs stream,correlation,21,Q3,-0.003149,0.001239,-2.542126,4822448
neutral,proxy factor corr core 13 vs stream,correlation,21,Q4,-0.002904,0.001306,-2.224038,4822448
neutral,proxy factor corr core 13 vs stream,correlation,63,Q1,-0.003110,0.001041,-2.987608,4822448
neutral,proxy factor corr core 13 vs stream,correlation,63,Q2,-0.003240,0.001651,-1.962425,4822448
neutral,proxy factor corr core 13 vs stream,correlation,63,Q3,-0.003031,0.001235,-2.455149,4822448
neutral,proxy factor corr core 13 vs stream,correlation,63,Q4,-0.002942,0.001306,-2.252853,4822448
neutral,proxy factor corr core 13 vs stream,correlation,108,Q1,-0.003050,0.001030,-2.960295,4822448
