fidelity
0.9967
0.4824
0.4612
0.9219
0.9945
0.9947
0.9945
0.9805
0.9854
0.5658
0.9897
0.9444
0.9191
0.9981
0.9921
0.9905
0.9124
0.9761
0.9446
0.6374
0.9959
0.9942
0.9967
0.9283
0.9987
0.9978
0.9874
0.998
0.9975
0.9893
0.9876
0.9723
0.9981
0.9379
0.8765
0.999
0.9984
0.9981
0.8467
0.9958
0.9875
0.9944
0.9944
0.9876
0.8595
0.6833
0.3572
0.9855
0.9942
0.9863
0.9844
0.9918
0.9933
0.4884
0.784
0.9976
0.9971
0.9948
0.9917
0.9149
0.9844
0.9939
0.9815
0.9873
0.9989
0.9974
0.9911
0.9952
0.9949
0.9818
0.9874
0.9984
0.9777
0.5367
0.9937
0.9945
0.9921
0.996
0.844
0.9929
0.9909
0.9875
0.3309
0.9765
0.9665
0.9988
0.9763
0.6822
0.993
0.984
0.9965
0.9972
0.6485
0.4044
0.412
0.9601
0.6931
0.6946
0.9965
0.9859
0.9877
0.4194
0.6671
0.9989
0.9969
0.964
0.9952
0.9975
0.6542
0.9724
0.8741
0.9875
0.9829
0.9837
0.9973
0.9972
0.6358
0.9956
0.809
0.999
0.9855
0.9291
0.8992
0.9288
0.8772
0.9913
0.6769
0.9423
0.9759
0.992
0.8908
0.9939
0.9966
0.9982
0.6902
0.998
0.9885
0.9931
0.9957
0.8731
0.9861
0.9783
0.992
0.9961
0.9878
0.9939
0.9951
0.9722
0.986
0.9961
0.9961
0.9492
0.9923
0.6744
0.9033
0.963
0.9834
0.687
0.9962
0.9457
0.9834
0.9856
0.9791
0.994
0.9734
0.969
0.9286
0.8906
0.9977
0.8285
0.9961
0.901
0.9987
0.9944
0.2387
0.9552
0.682
0.9816
0.9975
0.9941
0.7621
0.9746
0.998
0.9312
0.9916
0.9964
0.9789
0.9845
0.9903
0.9918
0.9939
0.9947
0.9942
0.994
0.4863
0.8056
0.6978
0.9491
0.5047
0.7019
0.997
0.9629
0.9952
0.9889
0.9916
0.9723
0.9934
0.9802
0.5872
0.9506
0.9985
0.986
0.9894
0.9901
0.983
0.9966
0.8481
0.9952
0.9068
0.9728
0.7139
0.65
0.9963
0.9976
0.8899
0.9985
0.987
0.9356
0.9934
0.9921
0.9619
0.9065
0.9928
0.9947
0.6092
0.534
0.9913
0.3981
0.9829
0.5985
0.4508
0.9103
0.9607
0.9881
0.9773
0.9964
0.9868
0.9768
0.9757
0.9843
0.9976
0.8758
0.8598
0.995
0.9908
0.9981
0.9875
0.927
0.9963
0.9349
0.9529
0.9323
0.5245
0.9975
0.9897
0.5014
0.9993
0.9754
0.9598
0.9837
0.9773
0.9899
0.9592
0.9969
0.9931
0.9565
0.996
0.9416
0.4391
0.9531
0.3513
0.2355
0.9762
0.4912
0.6514
0.9687
0.9869
0.9274
0.9586
0.7766
0.9596
0.8852
0.9454
0.9894
0.9957
0.9915
0.9852
0.9991
0.9989
0.9827
0.9975
0.9987
0.9963
0.995
0.9564
-0.3992
0.9958
0.995
0.9945
0.9971
0.9863
0.997
0.9938
0.9888
0.8976
0.9914
0.9944
0.9913
0.968
0.9677
0.8985
0.9472
0.5348
0.9943
0.9822
0.9961
0.9753
0.9901
0.9967
0.9801
0.97
0.9813
0.9802
0.9727
0.9856
0.9992
0.9146
0.9976
0.9827
0.9839
0.6986
-0.017
0.9559
0.9831
0.9785
0.9943
0.9907
0.9845
0.6839
0.996
0.9276
0.9987
0.9776
0.9916
0.9913
0.9898
0.9503
0.9318
0.9752
0.9649
0.9962
0.9165
0.9567
0.8993
0.9994
0.9874
0.9268
0.9964
0.9946
0.5839
0.9966
0.9981
0.9818
0.8672
0.9918
0.9416
0.939
0.9955
0.9853
