geometry,channel,estimator,age,stratum,pairs,pair_dates,rmse_ratio_to_stream,ci_lo,ci_hi,share_pairs_below_1
neutral,correlation,"proxy factor corr, extended 22",0,0.85-0.95,15498,417318,0.971683,0.956599,0.984746,0.688992
neutral,covariance,holdings cov,0,<0.75,4767,133362,0.992445,0.970360,1.024305,0.475142
neutral,covariance,"holdings corr, stream vol",0,<0.75,4767,133362,0.983469,0.966592,0.993569,0.640235
neutral,covariance,"blend, pair weight",0,<0.75,4767,133362,0.982594,0.964799,0.991902,0.660583
neutral,correlation,holdings corr,0,<0.75,4767,133362,0.899848,0.853874,0.950832,0.751626
neutral,correlation,blend corr,0,<0.75,4767,133362,0.885170,0.841963,0.925774,0.775960
neutral,correlation,factor corr K5,0,<0.75,4480,118241,0.951798,0.905711,0.998819,0.676786
neutral,correlation,factor corr K10,0,<0.75,4268,108585,0.950438,0.914840,0.989573,0.725867
neutral,correlation,"proxy factor corr, core 13",0,<0.75,4020,100900,0.949017,0.924488,0.976072,0.760199
neutral,correlation,"proxy factor corr, extended 22",0,<0.75,3152,76550,0.959447,0.938949,0.986975,0.748096
neutral,covariance,holdings cov,0,>0.95,15836,469335,0.998978,0.989714,1.008016,0.461228
neutral,covariance,"holdings corr, stream vol",0,>0.95,15836,469335,0.985905,0.978801,0.991872,0.789278
neutral,covariance,"blend, pair weight",0,>0.95,15836,469335,0.985907,0.978808,0.991869,0.789467
neutral,correlation,holdings corr,0,>0.95,15836,469335,0.919608,0.887450,0.945164,0.742170
neutral,correlation,blend corr,0,>0.95,15836,469335,0.919485,0.887311,0.944990,0.742549
neutral,correlation,factor corr K5,0,>0.95,15197,422139,0.962051,0.925605,0.992198,0.615977
neutral,correlation,factor corr K10,0,>0.95,14446,386417,0.929248,0.891999,0.955301,0.695348
neutral,correlation,"proxy factor corr, core 13",0,>0.95,13944,361807,0.955931,0.918906,0.981089,0.685815
neutral,correlation,"proxy factor corr, extended 22",0,>0.95,11638,283198,0.965085,0.929519,0.990368,0.663344
neutral,covariance,holdings cov,21,0.75-0.85,6176,191655,0.981027,0.946963,1.000931,0.559909
