geometry,estimator,age,persistence_bins,crossover_persistence
neutral,blend,0,0.03:0.971 0.07:1.086 0.12:0.797 0.17:1.418 0.23:1.085 0.28:0.961 0.33:1.174 0.38:0.834 0.42:0.923 0.47:0.896 0.53:0.749 0.57:0.891 0.62:1.003 0.68:1.032 0.72:0.988 0.78:1.008 0.82:0.974 0.88:1.007 0.93:1.002 0.97:0.997,0.0380
neutral,holdings cov,0,0.03:1.350 0.07:1.511 0.12:1.140 0.17:1.808 0.23:1.115 0.28:0.954 0.33:2.648 0.38:1.097 0.42:1.566 0.47:1.084 0.53:1.054 0.57:0.999 0.62:1.014 0.68:1.068 0.72:0.978 0.78:1.076 0.82:0.977 0.88:1.024 0.93:1.011 0.97:1.001,0.2598
neutral,blend,21,0.03:1.257 0.07:1.168 0.12:1.151 0.17:1.407 0.23:0.929 0.28:1.009 0.33:0.908 0.38:1.213 0.42:1.182 0.47:1.132 0.53:0.811 0.57:0.962 0.62:0.994 0.68:1.003 0.72:1.001 0.78:1.031 0.82:1.017 0.88:0.996 0.93:1.001 0.97:0.998,0.2162
neutral,holdings cov,21,0.03:2.057 0.07:1.313 0.12:1.591 0.17:1.917 0.23:0.950 0.28:1.011 0.33:1.550 0.38:1.677 0.42:2.016 0.47:1.169 0.53:0.859 0.57:1.112 0.62:1.001 0.68:1.067 0.72:0.990 0.78:1.078 0.82:0.997 0.88:1.000 0.93:1.009 0.97:1.004,0.2214
neutral,blend,63,0.03:1.152 0.07:1.240 0.12:1.116 0.17:0.814 0.23:0.965 0.28:1.009 0.33:0.974 0.38:1.456 0.42:1.143 0.47:1.099 0.53:0.960 0.57:1.180 0.62:1.004 0.68:1.004 0.72:1.029 0.78:1.013 0.82:1.015 0.88:1.003 0.93:1.002 0.97:1.000,0.1424
neutral,holdings cov,63,0.03:2.594 0.07:2.757 0.12:2.090 0.17:1.737 0.23:1.232 0.28:1.139 0.33:1.277 0.38:3.493 0.42:1.965 0.47:1.118 0.53:1.001 0.57:1.893 0.62:1.037 0.68:1.135 0.72:1.163 0.78:1.076 0.82:1.193 0.88:1.032 0.93:1.043 0.97:1.028,
neutral,blend,108,0.03:1.045 0.07:1.077 0.12:1.076 0.17:1.012 0.23:1.028 0.28:1.015 0.33:1.094 0.38:1.176 0.42:1.268 0.47:1.124 0.53:0.917 0.57:1.014 0.62:1.003 0.68:1.015 0.72:1.021 0.78:1.037 0.82:1.086 0.88:1.011 0.93:1.011 0.97:1.000,0.5037
neutral,holdings cov,108,0.03:2.008 0.07:3.008 0.12:1.985 0.17:1.849 0.23:1.312 0.28:1.050 0.33:1.683 0.38:3.331 0.42:2.590 0.47:1.577 0.53:2.363 0.57:1.556 0.62:1.036 0.68:1.137 0.72:1.138 0.78:1.277 0.82:1.766 0.88:1.096 0.93:1.085 0.97:1.046,
