geometry,estimator,age,persistence_bins,crossover_persistence
neutral,blend,0,0.38:1.362 0.42:1.025 0.47:0.993 0.53:1.160 0.57:1.233 0.62:1.007 0.68:0.973 0.72:1.059 0.78:1.034 0.82:0.985 0.88:0.978 0.93:0.997 0.97:0.993,0.4638
neutral,holdings cov,0,0.38:1.517 0.42:1.136 0.47:1.092 0.53:1.260 0.57:1.289 0.62:0.869 0.68:0.976 0.72:1.292 0.78:1.086 0.82:1.049 0.88:0.971 0.93:1.004 0.97:1.007,0.6072
neutral,blend,21,0.38:1.063 0.42:0.993 0.47:1.036 0.53:1.131 0.57:1.241 0.62:1.026 0.68:0.966 0.72:1.025 0.78:1.001 0.82:1.015 0.88:0.977 0.93:0.996 0.97:0.993,0.4199
neutral,holdings cov,21,0.38:1.264 0.42:1.022 0.47:1.153 0.53:1.487 0.57:1.758 0.62:1.020 0.68:0.951 0.72:1.248 0.78:1.056 0.82:1.078 0.88:0.981 0.93:0.988 0.97:0.998,0.6394
neutral,blend,63,0.38:1.000 0.42:0.995 0.47:1.026 0.53:1.065 0.57:1.120 0.62:1.047 0.68:0.983 0.72:1.042 0.78:0.994 0.82:1.027 0.88:0.994 0.93:0.997 0.97:0.995,0.3795
neutral,holdings cov,63,0.38:1.154 0.42:1.035 0.47:1.375 0.53:1.935 0.57:1.632 0.62:1.094 0.68:0.989 0.72:1.474 0.78:1.076 0.82:1.253 0.88:1.008 0.93:1.008 0.97:1.004,0.6694
neutral,blend,108,0.38:0.996 0.42:0.998 0.47:0.983 0.53:1.042 0.57:0.967 0.62:0.984 0.68:0.990 0.72:1.014 0.78:1.008 0.82:1.019 0.88:1.011 0.93:1.000 0.97:0.996,0.4900
neutral,holdings cov,108,0.38:1.299 0.42:1.152 0.47:1.167 0.53:1.352 0.57:2.094 0.62:1.747 0.68:0.990 0.72:1.566 0.78:1.106 0.82:1.285 0.88:1.043 0.93:1.023 0.97:1.011,0.6741
