geometry,regression,channel,age,stratum,coef,se,t,nobs
neutral,blend corr vs stream,correlation,63,Q1,0.004197,0.001575,2.664304,2896771
neutral,blend corr vs stream,correlation,63,Q2,-0.000586,0.001802,-0.325423,2896771
neutral,blend corr vs stream,correlation,63,Q3,-0.001263,0.001557,-0.811409,2896771
neutral,blend corr vs stream,correlation,63,Q4,-0.001079,0.002028,-0.532026,2896771
neutral,blend corr vs stream,correlation,108,Q1,0.006055,0.001471,4.117423,2896771
neutral,blend corr vs stream,correlation,108,Q2,0.002544,0.001756,1.448188,2896771
neutral,blend corr vs stream,correlation,108,Q3,0.001061,0.001570,0.675789,2896771
neutral,blend corr vs stream,correlation,108,Q4,0.000214,0.002424,0.088317,2896771
neutral,blend corr vs stream,correlation,0,Q1 - Q4,-0.003020,0.002478,-1.218816,2896771
neutral,blend corr vs stream,correlation,21,Q1 - Q4,0.003783,0.002480,1.525323,2896771
neutral,blend corr vs stream,correlation,63,Q1 - Q4,0.005276,0.002285,2.309289,2896771
neutral,blend corr vs stream,correlation,108,Q1 - Q4,0.005841,0.002510,2.326887,2896771
neutral,factor corr K5 vs stream,correlation,0,Q1,0.003237,0.004127,0.784301,2889261
neutral,factor corr K5 vs stream,correlation,0,Q2,0.003335,0.006797,0.490702,2889261
neutral,factor corr K5 vs stream,correlation,0,Q3,0.002818,0.006863,0.410570,2889261
neutral,factor corr K5 vs stream,correlation,0,Q4,0.000873,0.005320,0.164160,2889261
neutral,factor corr K5 vs stream,correlation,21,Q1,0.004244,0.003887,1.092025,2889261
neutral,factor corr K5 vs stream,correlation,21,Q2,0.004153,0.006762,0.614160,2889261
neutral,factor corr K5 vs stream,correlation,21,Q3,0.003708,0.006887,0.538430,2889261
neutral,factor corr K5 vs stream,correlation,21,Q4,0.001582,0.005344,0.296009,2889261
neutral,factor corr K5 vs stream,correlation,63,Q1,0.004598,0.003909,1.176230,2889261
neutral,factor corr K5 vs stream,correlation,63,Q2,0.004382,0.006816,0.642939,2889261
neutral,factor corr K5 vs stream,correlation,63,Q3,0.003713,0.006900,0.538137,2889261
neutral,factor corr K5 vs stream,correlation,63,Q4,0.001566,0.005355,0.292389,2889261
neutral,factor corr K5 vs stream,correlation,108,Q1,0.005140,0.003726,1.379508,2889261
neutral,factor corr K5 vs stream,correlation,108,Q2,0.004356,0.006834,0.637428,2889261
neutral,factor corr K5 vs stream,correlation,108,Q3,0.003727,0.006879,0.541865,2889261
neutral,factor corr K5 vs stream,correlation,108,Q4,0.001105,0.005351,0.206428,2889261
neutral,factor corr K5 vs stream,correlation,0,Q1 - Q4,0.002364,0.004197,0.563134,2889261
neutral,factor corr K5 vs stream,correlation,21,Q1 - Q4,0.002662,0.004134,0.644035,2889261
neutral,factor corr K5 vs stream,correlation,63,Q1 - Q4,0.003032,0.004131,0.734131,2889261
neutral,factor corr K5 vs stream,correlation,108,Q1 - Q4,0.004035,0.003925,1.027879,2889261
neutral,factor corr K10 vs stream,correlation,0,Q1,-0.001814,0.003270,-0.554802,2884950
neutral,factor corr K10 vs stream,correlation,0,Q2,-0.003125,0.005317,-0.587733,2884950
neutral,factor corr K10 vs stream,correlation,0,Q3,-0.003332,0.005396,-0.617479,2884950
neutral,factor corr K10 vs stream,correlation,0,Q4,-0.003685,0.003740,-0.985347,2884950
neutral,factor corr K10 vs stream,correlation,21,Q1,-0.001056,0.003103,-0.340384,2884950
neutral,factor corr K10 vs stream,correlation,21,Q2,-0.002391,0.005251,-0.455313,2884950
neutral,factor corr K10 vs stream,correlation,21,Q3,-0.002600,0.005393,-0.482176,2884950
neutral,factor corr K10 vs stream,correlation,21,Q4,-0.003084,0.003740,-0.824470,2884950
neutral,factor corr K10 vs stream,correlation,63,Q1,-0.000677,0.003075,-0.220229,2884950
neutral,factor corr K10 vs stream,correlation,63,Q2,-0.002137,0.005286,-0.404364,2884950
neutral,factor corr K10 vs stream,correlation,63,Q3,-0.002546,0.005403,-0.471181,2884950
neutral,factor corr K10 vs stream,correlation,63,Q4,-0.003062,0.003749,-0.816600,2884950
neutral,factor corr K10 vs stream,correlation,108,Q1,-0.000359,0.002992,-0.119840,2884950
neutral,factor corr K10 vs stream,correlation,108,Q2,-0.002261,0.005307,-0.426060,2884950
neutral,factor corr K10 vs stream,correlation,108,Q3,-0.002587,0.005389,-0.480053,2884950
neutral,factor corr K10 vs stream,correlation,108,Q4,-0.003525,0.003760,-0.937393,2884950
